Time,x,y,z,w
23.665,0.0046631623204018745,0.011942025849897188,0.258870068841143,0.9658270706466846
23.666,0.004663679866698418,0.011954890327078568,0.2588995544646606,0.9658190055001863
23.667,0.004664257124574623,0.011968044029278441,0.2589293287958925,0.9658108579410867
23.668,0.0046649311868874445,0.011981401519935656,0.25895938997358475,0.9658026293084673
23.669,0.0046657383355085714,0.011994874128919298,0.25898973226935973,0.9657943220269322
23.67,0.004666713549424765,0.012008371108944853,0.2590203461615203,0.9657859395758067
23.671,0.004667890035731111,0.012021800822804083,0.2590512184607688,0.965777486443737
23.672,0.004669298789562064,0.01203507194463899,0.2590823324858441,0.9657689680693804
23.673000000000002,0.004670968188427136,0.012048094658264489,0.25911366828623583,0.965760390769128
23.674,0.004672923625777873,0.012060781835622612,0.2591452029083604,0.9657517616530067
23.675,0.004675187024847105,0.012073050242285416,0.2591768976388978,0.9657430920355612
23.676,0.004677782338701904,0.012084802518341728,0.25920873381704124,0.9657343880247047
23.677,0.004680724046521032,0.012095967040182908,0.2592406815191811,0.9657256584813483
23.678,0.004684022673625802,0.012106479034206967,0.25927270922559137,0.9657169126342404
23.679,0.004687684668655608,0.01211628142311662,0.25930478422859143,0.9657081599598746
23.68,0.004691712333608599,0.012125325568418813,0.2593368730522902,0.9656994100602417
23.681,0.00469610380671946,0.0121335719001211,0.25936894187803305,0.9656906725401517
23.682,0.0047008530975330585,0.012140990426402805,0.2594009569698065,0.9656819568857906
23.683,0.004705950172963047,0.012147561117875988,0.2594328850940743,0.9656732723460983
23.684,0.0047113810925894705,0.012153274162890203,0.2594646939288243,0.965664627818449
23.685,0.0047171280576744825,0.012158130144022164,0.2594963418604479,0.965656034587541
23.686,0.004723127556075116,0.012162165067749784,0.25952780780816503,0.965647498200685
23.687,0.00472935673596927,0.01216539910788844,0.25955906450517935,0.9656390258697118
23.688,0.004735789758248484,0.01216786237664691,0.25959008702680925,0.9656306240680037
23.689,0.004742398138200012,0.012169594544968108,0.25962085308050054,0.9656222984553863
23.69,0.0047491511171781076,0.012170644348198699,0.2596513432626676,0.965614053813276
23.691,0.004756016059906427,0.012171068984107835,0.25968154128021825,0.9656058939905827
23.692,0.004762958872828862,0.012170933411268018,0.2597114341350372,0.9655978218607353
23.693,0.004769944438732693,0.012170309556673338,0.2597410122700999,0.9655898392900838
23.694,0.004776937062704301,0.012169275442198075,0.2597702696762521,0.9655819471178188
23.695,0.00478390092832284,0.012167914238634258,0.25979920426554926,0.9655741450649851
23.696,0.0047907649417245025,0.01216635523881881,0.2598278176929921,0.9655664314403092
23.697,0.004797495582881068,0.012164687136268698,0.2598561147880424,0.9655588040250438
23.698,0.0048040605035287245,0.012163000683280797,0.2598841039443116,0.9655512596098249
23.699,0.00481042895556218,0.012161387578238802,0.2599117970268238,0.9655437940309711
