Time,x,y,z
36.667,0.05489467686105031,0.04497908794106405,-0.005973812614006579
36.668,0.05491785029255232,0.04495443189843925,-0.005974673079408554
36.669,0.054937794359936336,0.0449308280465664,-0.005975482184316594
36.67,0.05495433521431035,0.04490801394078675,-0.00597620843742177
36.671,0.05496732484891919,0.0448857159334099,-0.00597682128530918
36.672,0.05497664241421072,0.04486365143254318,-0.005977291294554044
36.673,0.054982195391886694,0.044841531387273724,-0.005977590332450837
36.674,0.05498392061088916,0.044819062974870726,-0.00597769174609951
36.675,0.05498178507266136,0.04479595247451069,-0.005977570538906446
36.676,0.05497701212730964,0.04477106832061209,-0.005977207219841623
36.677,0.05496836967507146,0.044744987455355045,-0.005976576027043596
36.678,0.05495591937770065,0.044717432443272635,-0.005975658028055521
36.679,0.05493975418420142,0.04468813728938216,-0.005974436612918998
36.68,0.05491999802130821,0.044656850509876285,-0.005972897642300599
36.681,0.0548968052102629,0.04462333810307941,-0.005971029585155632
36.682,0.0548703595999598,0.04458738636954888,-0.005968823644245802
36.683,0.05484087340993147,0.04454880453178978,-0.005966273867370643
36.684,0.05480858578023956,0.04450742710646443,-0.005963377241645232
36.685,0.054773761017542055,0.04446311599133706,-0.005960133768975078
36.686,0.05473933615063576,0.04441637044791737,-0.005955842016896937
36.687,0.05470289059502991,0.04436648987159353,-0.005951218810764621
36.688,0.05466475259400567,0.04431342858233599,-0.005946273435454935
36.689,0.054625265729142426,0.04425717287480295,-0.005941018266104356
36.69,0.05458478591798254,0.04419774118129871,-0.0059354687137018955
36.691,0.05454367822819172,0.04413518381526653,-0.005929643139527471
36.692,0.05450231354260496,0.044069582300753175,-0.005923562736949439
36.693,0.05446106511278229,0.04400104830153402,-0.005917251380403471
36.694,0.05442030504245349,0.0439297221710761,-0.00591073544093324
36.695,0.05438040074137839,0.04385577115209743,-0.005904043569257204
36.696,0.0543438255103439,0.04378106907971764,-0.005896858782964122
36.697,0.05430874888788832,0.04370410096997631,-0.005889564427071944
36.698,0.054275504654901385,0.0436251021516082,-0.005882194467297362
36.699,0.0542444083145754,0.043544324810474495,-0.005874783988240048
36.7,0.054215754108818064,0.043462035059958486,-0.0058673688425558285
36.701,0.054189812273000126,0.04337850993332643,-0.005859985285145972
36.702,0.05416682656414727,0.04329403434867164,-0.005852669597578119
36.703,0.05414701209384219,0.04320889809497607,-0.005845457708307502
36.704,0.054130553490931606,0.043123392884525415,-0.005838384814343399
36.705,0.054117603413601174,0.04303780951284469,-0.005831485010322856
36.706,0.054108321252428475,0.0429537484613266,-0.0058244323673642745
36.707,0.05410275469780998,0.04287013781940413,-0.005817620433773462
36.708,0.05410095525385293,0.042787251430993316,-0.005811077927377046
36.709,0.05410294013439966,0.04270535254644396,-0.005804831163559551
36.71,0.05410869259095785,0.04262469193796871,-0.00579890380159351
36.711,0.05411816257519972,0.04254550624702168,-0.005793316627470906
36.712,0.054131267714714965,0.04246801656242801,-0.00578808737533745
36.713,0.05414789457625187,0.04239242722182443,-0.005783230589709879
36.714,0.05416790018854928,0.04231892482494129,-0.005778757528562008
36.715,0.054191113795324757,0.0422476774370052,-0.005774676107737752
36.716,0.054215628353325024,0.04217883455324752,-0.005770970767120275
36.717,0.054242989231764654,0.042112527997109704,-0.0057676628846150615
36.718,0.05427295337577738,0.04204886768713496,-0.005764750460327078
36.719,0.0543052585945148,0.041987943367527446,-0.0057622283181543
36.72,0.05433962599103442,0.0419298244813278,-0.005760088227472951
36.721000000000004,0.05437576244254675,0.041874560117492084,-0.005758319051316997
36.722,0.054413363107335556,0.04182217901537681,-0.005756906917796725
36.723,0.054452113937615405,0.04177268961442792,-0.005755835410871644
36.724,0.05449169418018493,0.041726080139570416,-0.005755085776814926
36.725,0.05453177885347115,0.04168231870830741,-0.0057546371429675934
36.726,0.05456938795323904,0.04163989196650442,-0.00575373327335251
36.727,0.05460693002059471,0.04160023846684427,-0.0057530906472714515
36.728,0.05464407968685012,0.04156326627940506,-0.005752683528119877
36.729,0.054680516758462014,0.04152886417799975,-0.005752484997207955
36.73,0.05471592841599241,0.041496901974197004,-0.005752467187599508
36.731,0.05475001133978376,0.041467230933753416,-0.0057526015150939705
36.732,0.054782473759020706,0.041439684293070024,-0.005752858905044221
36.733,0.054813037419919795,0.041414077893896825,-0.005753210013972471
36.734,0.054841439469408504,0.04139021095434803,-0.005753625444807566
36.735,0.05486743424629788,0.04136786699850981,-0.00575407595531547
36.736,0.054889883104722086,0.041345174811416974,-0.005754169259412911
36.737,0.054909518583874814,0.04132357753712183,-0.005754244125661893
36.738,0.0549261558693618,0.041302818219457194,-0.005754273046957903
36.739,0.0549396334979531,0.04128262974689388,-0.005754229422075814
36.74,0.054949814607413,0.041262736697869846,-0.005754087722835813
36.741,0.05495658804975687,0.04124285737685504,-0.005753823652529481
36.742,0.054959869356433266,0.04122270603168654,-0.005753414295296105
36.743,0.05495960154364536,0.04120199523682401,-0.005752838256660088
36.744,0.05495575574522517,0.0411804384226099,-0.005752075794361268
36.745,0.054948331648748135,0.041157752537004315,-0.0057511089395150435
36.746,0.054938612302546465,0.041132928007297766,-0.005749580716502105
36.747,0.05492536325488867,0.04110645037410237,-0.00574782083763429
36.748,0.05490867158374875,0.041078064322182764,-0.005745817286775604
36.749,0.05488865253753431,0.04104752917651381,-0.0057435602031597555
36.75,0.05486544889652841,0.041014621611943705,-0.005741041948136319
36.751,0.054839230094019004,0.04097913825383314,-0.005738257160020599
36.752,0.054810191094114065,0.04094089812586365,-0.00573520279635695
36.753,0.05477855102558706,0.04089974490145681,-0.005731878163044512
36.754,0.0547445515745767,0.04085554891776615,-0.00572828493005507
36.755,0.05470845513202147,0.04080820891903237,-0.005724427132530788
36.756,0.05467301702217723,0.04075853021605846,-0.005719977861774309
36.757,0.054635985968423506,0.040705572747767475,-0.005715281458470563
36.758,0.05459767475758574,0.04064932896574928,-0.005710348922108164
36.759,0.05455840728127095,0.04058982318065149,-0.005705193475133112
36.76,0.05451851573969178,0.04052711150088123,-0.005699830480967146
36.761,0.054478337719984934,0.04046128137662295,-0.005694277343787754
36.762,0.05443821317878237,0.04039245075298519,-0.0056885533892167064
36.763,0.05439848136137992,0.04032076684355845,-0.005682679725988758
36.764,0.05435947769215796,0.04024640454282897,-0.005676679088384
36.765,0.05432153067057394,0.04016956450321959,-0.005670575659519148
36.766,0.05428682185885545,0.04009237894516634,-0.005664054756576378
36.767,0.05425373761462971,0.040013130387643425,-0.0056574861906676654
36.768,0.054222568794040235,0.03993208371482865,-0.005650897317132267
36.769,0.05419358769207911,0.039849519119745234,-0.0056443160639374065
36.77,0.05416704554052172,0.039765729069325136,-0.0056377706748275596
36.771,0.05414317022641317,0.03968101518556917,-0.005631289442833251
36.772,0.054122164259361845,0.03959568509138319,-0.0056249004377323586
36.773,0.05410420301177031,0.03951004926827133,-0.005618631230753536
36.774,0.054089433251922704,0.03942441797107293,-0.00561250862002192
36.775,0.054077971985017174,0.039339098241463595,-0.0056065583606827694
36.776,0.054069828246380076,0.039255755720136995,-0.005600455134644482
36.777,0.054065139680051125,0.039173277346528236,-0.005594575717813646
36.778,0.054063930178564715,0.039091945298824315,-0.0055889412200323795
36.779,0.05406619242434564,0.039012028218990025,-0.005583570749729318
36.78,0.0540718883193134,0.03893377917391261,-0.0055784812231867995
36.781,0.05408094970794921,0.03885743385925832,-0.005573687199480573
36.782,0.05409327937543049,0.03878320904989564,-0.005569200743538313
