Time,phi,theta,psi
35.276,-0.00858802499570774,0.025188567602821843,0.1991543331115678
35.277,-0.008589017972935669,0.025185229339542703,0.19907142202138117
35.278,-0.008590542193695934,0.025180557650156032,0.19898819353801406
35.279,-0.008592482844341814,0.02517453387620039,0.19890453845621497
35.28,-0.008594720932892413,0.02516715023742533,0.19882035042281557
35.281,-0.008597134381380656,0.02515841001411334,0.19873552678088968
35.282,-0.008599599146079736,0.02514832764593944,0.1986499693819178
35.283,-0.008601990354658248,0.025136928742999887,0.19856358535956764
35.284,-0.008604183448972295,0.025124250005152948,0.19847628785923582
35.285,-0.00860605482135345,0.025110339217987443,0.19838801665312863
35.286,-0.008607442643977042,0.025095369806232393,0.19829868294272845
35.287,-0.008608231489788884,0.02507940652030749,0.19820822172550837
35.288,-0.008608310600674188,0.025062524010081244,0.19811657638672991
35.289,-0.00860757488720507,0.02504480625310701,0.19802369914130608
35.29,-0.008605925867759422,0.025026345887134482,0.1979295514086099
35.291,-0.00860327253771924,0.025007243450298366,0.197834104118398
35.292,-0.008599532160353241,0.02498760653375398,0.1977373379465179
35.293,-0.008594630971998935,0.024967548852915744,0.19763924347952005
35.294,-0.008588504795271278,0.024947189244777457,0.19753982130771117
35.295,-0.008581098218280776,0.024926651060360072,0.19743913566597848
35.296,-0.008572412938394211,0.02490612902236866,0.19733716400313878
35.297,-0.008562415130136005,0.024885748205186298,0.19723393677295656
35.298,-0.008551082002861398,0.02486563431856026,0.19712949409609193
35.299,-0.008538401900697119,0.02484591249154877,0.19702388550004174
35.3,-0.008524374299929893,0.024826706050851133,0.19691716959173958
35.301,-0.008509009706283313,0.024808135307326395,0.19680941366455307
35.302,-0.00849232945560067,0.024790316364687648,0.1967006932417018
35.303,-0.008474365422417645,0.02477335996432295,0.19659109155842533
35.304,-0.008455159641757583,0.02475737037991732,0.19648069898554488
35.305,-0.008434762229033322,0.024742444928206098,0.1963696779070865
35.306,-0.008413346251533196,0.024728636444226737,0.19625807932187764
35.307,-0.008390977643794791,0.02471602490964786,0.19614601102618945
35.308,-0.008367730311919314,0.024704680155985148,0.19603358511040697
35.309,-0.008343685423598944,0.024694661192059097,0.1959209171409064
35.31,-0.008318930654192699,0.024686015644960868,0.19580812530729635
35.311,-0.008293559396255364,0.024678779320502553,0.19569532954045787
35.312,-0.008267669939741823,0.02467297588744044,0.19558265060723523
35.313,-0.008241364629856791,0.024668616688029887,0.1954702091880358
35.314,-0.00821474900919228,0.02466570067569629,0.19535812494397475
35.315,-0.008187930498704199,0.024664214629048553,0.19524653389680918
35.316,-0.008161079089583459,0.02466402779055743,0.1951355370100541
35.317,-0.008134302655556324,0.02466510642896047,0.19502524519784709
35.318,-0.00810770887139723,0.02466740528695688,0.19491576465097724
35.319,-0.008081404362265529,0.02467086811046948,0.19480719596275983
35.32,-0.008055493869244758,0.02467542827544933,0.1946996332895492
35.321,-0.008030079435262289,0.02468100950283958,0.19459316355358974
35.322,-0.008005259615353097,0.02468752665154783,0.1944878656957463
35.323,-0.007981128715091903,0.024694886578656483,0.19438380998539687
35.324,-0.00795777606091957,0.024702989055765068,0.19428105739442697
35.325,-0.00793528611848386,0.024711727468891942,0.19417962615506446
35.326,-0.00791372391829623,0.024720875272626452,0.19407958348587848
35.327,-0.00789316031915301,0.024730320620255597,0.19398095942023957
35.328,-0.007873658656163917,0.024739948436594217,0.19388377296001022
35.329,-0.007855274223833114,0.02474964145670966,0.1937880318565036
35.33,-0.00783805381407818,0.02475928125778193,0.19369373248481384
35.331,-0.007822035313155982,0.02476874927570205,0.19360085981367423
35.332,-0.0078072473614538,0.024777927798884658,0.19350938747205745
35.333,-0.007793709080042492,0.02478670093268276,0.1934192779127617
35.334,-0.007781429867746628,0.024794955528707696,0.19333048267222916
35.335,-0.007770411021488691,0.024802581525769085,0.1932428721794938
35.336,-0.007760551773314599,0.024809450404163824,0.19315643394754153
35.337,-0.0077518347377503,0.024815462935114718,0.19307108944666357
35.338,-0.007744232631237059,0.02482052591198447,0.1929867511825964
35.339,-0.007737708471486025,0.024824552852720227,0.19290332339011146
35.34,-0.007732215862197656,0.024827464648525144,0.19282070279798197
35.341,-0.007727699363219276,0.02482919015731433,0.19273877945821244
35.342,-0.00772409494524256,0.024829666740717293,0.19265743763177312
35.343,-0.0077213305272891145,0.024828840743453373,0.19257655672250995
35.344,-0.007719326594004907,0.024826667913852907,0.19249601225049232
35.345,-0.007717997936313664,0.024823113438548594,0.1924156346558644
35.346,-0.007717167970065849,0.0248182337997096,0.19233532909452253
35.347,-0.007716741832175425,0.024812012237035885,0.19225496563533198
35.348,-0.007716620304550568,0.024804442567518903,0.1921744145513802
35.349,-0.007716700754738122,0.0247955292851727,0.1920935473520824
35.35,-0.007716878116393866,0.02478528759108234,0.1920122377999279
35.351,-0.007717045899546232,0.024773743351519162,0.19193036290341436
35.352,-0.007717097219922585,0.024760932981885198,0.19184780387817585
35.353,-0.007716925836055873,0.024746903254393215,0.191764447068858
35.354,-0.007716427182514675,0.024731711027635717,0.19168018482489074
35.355,-0.007715499039477439,0.024715423005161608,0.19159493039792755
35.356,-0.007714022163685233,0.02469822990431525,0.1915085792707949
35.357,-0.007711903840736005,0.02468021263501141,0.19142104644902666
35.358,-0.007709056866772398,0.024661460417768177,0.19133225586671765
35.359,-0.007705400386071202,0.02464207011013375,0.1912421409534901
35.36,-0.007700860657639972,0.02462214545667374,0.19115064512821256
35.361,-0.007695371741940876,0.024601796265852016,0.1910577222171716
35.362,-0.007688876099993484,0.02458113751823321,0.19096333679495
35.363,-0.007681325098369447,0.02456028841157898,0.19086746444676497
35.364,-0.007672679414981496,0.02453937134955053,0.19077009195147904
35.365,-0.007662908044383917,0.02451851128747018,0.19067127029335662
35.366,-0.0076520383552274,0.024497888274938484,0.19057096626380002
35.367,-0.007640059126159526,0.024477625780945145,0.19046920049740854
35.368,-0.007626969031199464,0.024457846106015868,0.19036600476553342
35.369,-0.007612776523387358,0.02443866922868909,0.19026142176363772
35.37,-0.007597499620885058,0.024420211656538626,0.19015550482191595
35.371,-0.007581165600689957,0.024402585294260648,0.19004831754065665
35.372,-0.007563810606293149,0.024385896341595492,0.18993993335212808
