Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
140.726,7414,140,725000000,IMU,-5.348582479193207e-09,-1.3000838224138692e-08,1.6249574115399972e-06,0.9999999999986796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04268742293468987,0.0034366855561892783,-0.003411497532059844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059006560114396304,-0.046669697137238356,9.778381345455541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.736,7415,140,735000000,IMU,-5.40378963924201e-09,-1.2867923251831816e-08,1.6250335755641092e-06,0.9999999999986796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01931151873508742,-0.05522301167672318,-0.02764021481088593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07372338722124486,0.03620224166560423,9.728342721008177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.746,7416,140,745000000,IMU,-5.404581828100401e-09,-1.2770920533854048e-08,1.6251064937172383e-06,0.9999999999986796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0857898216736789,0.028684762240192983,0.003331405804699316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13320953753066875,-0.01434488749235767,9.775674261868222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.756,7417,140,755000000,IMU,-5.394509295877641e-09,-1.2694209037540656e-08,1.6251219750116972e-06,0.9999999999986794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00409731947187006,0.0612458902064563,-0.019479347038822946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03667329152968229,-0.01538452108683638,9.87762818977891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.766,7418,140,765000000,IMU,-5.414245414972711e-09,-1.2654198312251995e-08,1.6250700769805836e-06,0.9999999999986796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07111845208329806,0.02135600721552757,0.05172577780624735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0050459849804959,0.025409401223436046,9.797340879540746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.776,7419,140,775000000,IMU,-5.479550632839514e-09,-1.2597089721280225e-08,1.6249933113160768e-06,0.9999999999986798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04340213124320252,0.020837914984280986,-0.003293197546099593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020500946492817526,0.08894408413241474,9.790388786394523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.786,7420,140,785000000,IMU,-5.607665596064197e-09,-1.2487977856460608e-08,1.6249519621552454e-06,0.9999999999986798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008526306945483479,0.0594888324517785,-0.004009053662198471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027148128456736344,-0.023683211667282506,9.741807698833234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.796,7421,140,795000000,IMU,-5.743695438151067e-09,-1.2344958965718806e-08,1.6249767188059763e-06,0.9999999999986798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02980717006950209,0.0553479871662363,-0.09432035022343827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09385554736886591,0.023367225144366607,9.745230173761241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.806,7422,140,805000000,IMU,-5.787622622693363e-09,-1.221721963279825e-08,1.6250535315523604e-06,0.9999999999986796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03364099767143239,-0.012662544922740963,0.034174544480451624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05320543938614069,0.023150118671429767,9.805317326170709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140.816,7423,140,815000000,IMU,-5.777194113320758e-09,-1.2093501940550482e-08,1.625122567600332e-06,0.9999999999986796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04532498680764415,-0.0002381073627648454,-0.020444792380959944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04441973451385669,0.06724883628303807,9.757352931078332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
