Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,torques.x,torques.y,torques.z
7205.937,1415,7205,937000000,,-0.012778568673154111,0.024712919837450522,-0.003500924878449897
7205.947,1416,7205,947000000,,-0.01493468756494897,0.026691572664149992,-0.0034155613815568956
7205.957,1417,7205,957000000,,-0.016033347399312423,0.027754846817868134,-0.0033249330104756173
7205.967,1418,7205,967000000,,-0.015005887794887453,0.02705291982527681,-0.0033196656999342133
7205.977,1419,7205,977000000,,-0.012536210073353012,0.025210467185461057,-0.0034211043916767304
7205.987,1420,7205,987000000,,-0.01063110677297038,0.023809286909910923,-0.0035731918335100542
7205.997,1421,7205,997000000,,-0.01089376779627068,0.02408612760809175,-0.0036751738123312677
7206.007,1422,7206,7000000,,-0.013043225659048911,0.025840405200106602,-0.0036608498230100398
7206.017,1423,7206,17000000,,-0.01518687947730748,0.02759315600190881,-0.003566241418357028
7206.027,1424,7206,27000000,,-0.015415388177735087,0.027901504589550593,-0.0034916406987578006
7206.037,1425,7206,37000000,,-0.013342761836098465,0.02655315876123699,-0.0035133092076411916
7206.047,1426,7206,47000000,,-0.01054982515141942,0.02469209601810556,-0.003637188223842276
7206.057,1427,7206,57000000,,-0.009363580652053286,0.023903226301046236,-0.0037937435229206864
7206.067,1428,7206,67000000,,-0.010759138786076265,0.02488936123848764,-0.0038765175359068687
7206.077,1429,7206,77000000,,-0.013472924261839565,0.026806995495755815,-0.0038385730101566794
7206.087,1430,7206,87000000,,-0.015138030775280871,0.0280305527637938,-0.0037385000101247227
7206.097,1431,7206,97000000,,-0.014399097434190013,0.027733367184737373,-0.003685507068084219
7206.107,1432,7206,107000000,,-0.011541744471020101,0.026099469824289342,-0.003719163740033127
7206.117,1433,7206,117000000,,-0.008582006480886707,0.024301912394064505,-0.00387181113439467
7206.127,1434,7206,127000000,,-0.006912705070046502,0.02393182796274702,-0.004039566073106464
7206.137,1435,7206,137000000,,-0.012479145453282513,0.02590685792163082,-0.004090707294464066
7206.147,1436,7206,147000000,,-0.01224386372662354,0.02711791698025651,-0.004042341925172997
7206.157,1437,7206,157000000,,-0.016057235414142224,0.028194210643874514,-0.003923156690263483
7206.167,1438,7206,167000000,,-0.012387751974638246,0.026932450234306977,-0.0038788986442868877
7206.177,1439,7206,177000000,,-0.008877585941285931,0.025182291738611546,-0.003952740350092757
7206.187,1440,7206,187000000,,-0.006989968587991695,0.02413598556618054,-0.0041286863970184775
7206.197,1441,7206,197000000,,-0.008279643920769122,0.024684802567315346,-0.004291152314332659
7206.207,1442,7206,207000000,,-0.011560610469978508,0.026311835650885768,-0.004329543284948119
7206.217,1443,7206,217000000,,-0.013837222806774336,0.027531524839715632,-0.004262328826120897
7206.227,1444,7206,227000000,,-0.013598317110116536,0.027573639850049972,-0.004143949071376896
7206.237,1445,7206,237000000,,-0.01005650941360212,0.026128606023706803,-0.004093684628831481
7206.247,1446,7206,247000000,,-0.006578809112631301,0.02461103223627747,-0.004205690015032166
7206.257,1447,7206,257000000,,-0.005901921582959662,0.02415032870707227,-0.004412342205393355
7206.267,1448,7206,267000000,,-0.008530589546339108,0.025109966278294035,-0.004569703680127004
7206.277,1449,7206,277000000,,-0.010387828181815911,0.02624658804196019,-0.004585166990259973
7206.287,1450,7206,287000000,,-0.015237909770486597,0.027524047018999753,-0.004456195176578489
